,FFNN,ARIMA,LSTM,length,kurtosis,energy,variance
Serie 1,0.0009217863553203642,0.0,0.0,144,-0.27383695251524287,40.015288192378065,0.020279379091024934
Serie 2,4.3885287595912814e-05,0.0,0.0,144,-0.9852479099314171,42.355077237497014,0.0404593675896697
Serie 3,0.00023752404376864433,0.0,0.0,144,0.3762183768636218,19.680198141882656,0.05009624557125977
Serie 4,0.0005291223642416298,0.0,0.0,144,-0.5095877491201781,,
Serie 5,0.0001854669098975137,0.0,0.0,144,-0.13078435221915186,44.93553135789159,0.02634538807421933
Serie 6,0.0002705484221223742,0.0,0.0,144,0.020075870400868112,35.754186851211074,0.023340120846208248
Serie 7,0.0003115998406428844,0.0,0.0,144,-0.24797197819489636,35.527638150770514,0.029798231061131948
Serie 8,0.0002828411525115371,0.0,0.0,144,5.103097177500306,,
Serie 9,8.943715511122718e-05,0.0,0.0,144,1.4788515518401186,,
Serie 10,0.0001250973582500592,0.0,0.0,144,30.41702538633623,8.5657731176536,0.007399347385879326
Serie 11,0.00015483697643503547,0.0,0.0,144,0.34004093527431634,22.603000247452954,0.027834926237708755
Serie 12,0.000385915715014562,0.0,0.0,144,-1.516138507503018,47.5136137372335,0.08029427031605246
