,FFNN,ARIMA,LSTM,length,kurtosis,energy,variance
Serie 1,0.005078158341348171,0.005916876659342379,0.003058851696550846,144,-0.27383695251524287,40.015288192378065,0.020279379091024934
Serie 2,0.0002564764872658998,0.024115431333966982,7.788864604663104e-05,144,-0.9852479099314171,42.355077237497014,0.0404593675896697
Serie 3,0.00019192868785467,0.016216662901596995,0.000800238165538758,144,0.3762183768636218,19.680198141882656,0.05009624557125977
Serie 4,0.004471710883080959,0.00783982639964271,0.00839540921151638,133,-0.5095877491201768,43.374306150830016,0.03500165327032379
Serie 5,0.00226601236499846,0.004509145870319145,0.002093265065923333,144,-0.13078435221915186,44.93553135789159,0.02634538807421933
Serie 6,0.005344362463802099,0.006484107681273397,0.008020149543881416,144,0.020075870400868112,35.75418685121108,0.023340120846208248
Serie 7,0.00021395912335719913,0.010119856079815097,0.0024161862675100565,144,-0.24797197819489636,35.527638150770514,0.029798231061131948
Serie 8,0.005912286229431629,0.014567531754217683,0.006434486713260412,134,5.103097177500301,16.17452226109576,0.01302598935430734
Serie 9,3.672574530355632e-05,0.0019711968877944527,1.5072490896272939e-05,141,1.4788515518401186,19.94270741959334,0.0319149067413702
Serie 10,6.697461503790691e-05,0.002559393195839836,0.0004685433523263782,144,30.41702538633623,8.565773117653602,0.007399347385879326
Serie 11,0.005789162125438452,0.01771011844887601,0.02146991156041622,144,0.34004093527431634,22.603000247452957,0.027834926237708755
Serie 12,0.00045585224870592356,1.2188075459784576e-13,1.253782784260693e-06,144,-1.516138507503018,47.5136137372335,0.08029427031605246
