,FFNN,ARIMA,LSTM,length,kurtosis,energy,variance
Serie 1,-1,-1,0.003058851696550846,144,-0.27383695251524287,40.015288192378065,0.020279379091024934
Serie 2,-1,-1,7.788864604663104e-05,144,-0.9852479099314171,42.355077237497014,0.0404593675896697
Serie 3,-1,-1,0.000800238165538758,144,0.3762183768636218,19.680198141882656,0.05009624557125977
Serie 4,-1,-1,0.00839540921151638,133,-0.5095877491201768,43.37430615083003,0.03500165327032379
Serie 5,-1,-1,0.002093265065923333,144,-0.13078435221915186,44.93553135789159,0.02634538807421933
Serie 6,-1,-1,0.008020149543881416,144,0.020075870400868112,35.754186851211074,0.023340120846208248
Serie 7,,,,,,,
Serie 8,,,,,,,
Serie 9,,,,,,,
Serie 10,,,,,,,
Serie 11,,,,,,,
Serie 12,,,,,,,
